Voter,Rank,Award ,Player
Claire,1,Vezina Trophy,Connor Hellebuyck
Claire,2,Vezina Trophy,Andrei Vasilevskiy
Claire,3,Vezina Trophy,Mackenzie Blackwood
Claire,4,Vezina Trophy,Logan Thompson
Claire,5,Vezina Trophy,Filip Gustavsson
Claire,1,Hart Memorial Trophy,Jackson Black
Claire,2,Hart Memorial Trophy,Matthew Tkachuk
Claire,3,Hart Memorial Trophy,Shayne Godtisbehertr
Claire,4,Hart Memorial Trophy,Leon Draisaitl
Claire,5,Hart Memorial Trophy,Josh Doan
Claire,1,Frank J. Selke Trophy,Nazem Kadri
Claire,2,Frank J. Selke Trophy,Sam Bennett
Claire,3,Frank J. Selke Trophy,Nico Hischier
Claire,4,Frank J. Selke Trophy,Tom Wilson 
Claire,5,Frank J. Selke Trophy,Brady Tkachuk
Claire,1,James Norris Memorial Trophy,Aaron Ekblad
Claire,2,James Norris Memorial Trophy,Niko Mikkola
Claire,3,James Norris Memorial Trophy,Brayden Pachal
Claire,4,James Norris Memorial Trophy,Emil Lilleberg
Claire,5,James Norris Memorial Trophy,Ian Cole
Claire,1,Calder Memorial Trophy,Jake Sanders
Claire,2,Calder Memorial Trophy,Wyatt Johnson
Claire,3,Calder Memorial Trophy,Kirill Marchenko
Claire,4,Calder Memorial Trophy,Brock Faber
Claire,5,Calder Memorial Trophy,Owen Power
Claire,1,Lady Byng Memorial Trophy,Colton Parayko
Claire,2,Lady Byng Memorial Trophy,Jake Sanders
Claire,3,Lady Byng Memorial Trophy,Alex Vlasic
Claire,4,Lady Byng Memorial Trophy,Cale Maker
Claire,5,Lady Byng Memorial Trophy,Erik Karlsson
