Voter,Award,Rank,Player
John,Vezina Trophy,1,Connor Hellebuyck
John,Vezina Trophy,2,Andrei Vasilevskiy
John,Vezina Trophy,3,Logan Thompson
John,Vezina Trophy,4,Jacob Markstrom
John,Vezina Trophy,5,Linus Ullmark
John,James Norris Memorial Trophy,1,Shayne Gotisbehere
John,James Norris Memorial Trophy,2,Evan Bouchard
John,James Norris Memorial Trophy,3,Sean Walker
John,James Norris Memorial Trophy,4,Quinn Hughes
John,James Norris Memorial Trophy,5,Nate Schmidt
John,Lady Byng Memorial Trophy,1,Brayed Point
John,Lady Byng Memorial Trophy,2,William Karlsson
John,Lady Byng Memorial Trophy,3,Cole Schwindt
John,Lady Byng Memorial Trophy,4,Anze Kopitar
John,Lady Byng Memorial Trophy,5,Jimmy Vesey
John,Frank J. Selke Trophy,1,Jordan Martinook
John,Frank J. Selke Trophy,2,Fabian Zetterlund
John,Frank J. Selke Trophy,3,Nino Niederreiter
John,Frank J. Selke Trophy,4,Connor McMichael
John,Frank J. Selke Trophy,5,Timo Meier
John,Hart Memorial Trophy,1,Leon Draisaitl
John,Hart Memorial Trophy,2,Nathan MacKinnon
John,Hart Memorial Trophy,3,Nikita Kucherov
John,Hart Memorial Trophy,4,David Pastrnak
John,Hart Memorial Trophy,5,Kyle Connor
John,Calder Memorial Trophy,1,Kirill Machenko
John,Calder Memorial Trophy,2,Wyatt Johnston
John,Calder Memorial Trophy,3,Marco Rossi
John,Calder Memorial Trophy,4,Logan Thompson
John,Calder Memorial Trophy,5,Dylan Holloway
